countryName,isoCode,CPI,unemployment,grossDebtToGDP,netDebtToGDP,primaryBalanceBPM,realGDP,nominalGDP,overnightInterbankRate,tenYearNominalRate,currentAccountLCU,currentAccountUSD,capitalAccountLCU,capitalAccountUSD,currentAccountPCTGDP,realExchangeRate,nominalGovernmentExpenditure,realGovernmentExpenditure,dailyPolicyRate,broadMoney,narrowMoney,debtToGDPHistorical,primaryBalance,primaryBalancePCTGDP,equities,gold,silver,coreCPI
United States,US,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,quarterly,quarterly,daily,daily,daily,monthly
United Kingdom,UK,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,quarterly,quarterly,daily,daily,daily,monthly
Europe,EU,monthly,monthly,yearly,yearly,#N/A,#N/A,#N/A,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,#N/A,#N/A,daily,daily,daily,#N/A
Hungary,HU,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,#N/A,#N/A,daily,daily,daily,monthly
Poland,PL,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,#N/A,#N/A,daily,daily,daily,monthly
Czech,CZ,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,#N/A,#N/A,daily,daily,daily,monthly
Romania,RO,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,daily,#N/A,#N/A,yearly,#N/A,#N/A,daily,daily,daily,monthly
Slovakia,SK,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,#N/A,#N/A,#N/A,yearly,#N/A,#N/A,daily,daily,daily,monthly
Germany,DE,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,#N/A,#N/A,#N/A,yearly,#N/A,#N/A,daily,daily,daily,monthly
Japan,JP,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,quarterly,quarterly,daily,daily,daily,monthly
China,CN,monthly,#N/A,yearly,yearly,#N/A,#N/A,#N/A,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,#N/A,#N/A,#N/A,daily,monthly,monthly,yearly,#N/A,#N/A,daily,daily,daily,monthly
India,IN,monthly,#N/A,yearly,yearly,quarterly,#N/A,#N/A,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,#N/A,quarterly,quarterly,daily,monthly,monthly,yearly,#N/A,#N/A,daily,daily,daily,monthly
Canada,CA,monthly,#N/A,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,quarterly,quarterly,daily,daily,daily,monthly
France,FR,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,#N/A,#N/A,#N/A,yearly,#N/A,#N/A,daily,daily,daily,monthly
Italy,IT,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,#N/A,#N/A,#N/A,yearly,#N/A,#N/A,daily,daily,daily,monthly
Denmark,DK,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,#N/A,#N/A,daily,daily,daily,monthly
Sweden,SE,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,#N/A,#N/A,daily,daily,daily,monthly
Austria,AT,monthly,monthly,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,#N/A,#N/A,#N/A,yearly,#N/A,#N/A,daily,daily,daily,monthly
Switzerland,CH,monthly,monthly,yearly,yearly,quarterly,#N/A,#N/A,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,#N/A,#N/A,daily,daily,daily,monthly
Australia,AU,quarterly,#N/A,yearly,yearly,quarterly,quarterly,quarterly,monthly,monthly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,quarterly,daily,monthly,monthly,yearly,quarterly,quarterly,daily,daily,daily,monthly
