countryName,isoCode,CPI,unemployment,grossDebtToGDP,netDebtToGDP,primaryBalanceBPM,realGDP,nominalGDP,overnightInterbankRate,tenYearNominalRate,currentAccountLCU,currentAccountUSD,capitalAccountLCU,capitalAccountUSD,currentAccountPCTGDP,realExchangeRate,nominalGovernmentExpenditure,realGovernmentExpenditure,dailyPolicyRate,broadMoney,narrowMoney,debtToGDPHistorical,primaryBalance,primaryBalancePCTGDP
United States,US,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics
United Kingdom,UK,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics
Europe,EU,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A,#N/A,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A
Hungary,HU,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A
Poland,PL,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A
Czech,CZ,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A
Romania,RO,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,dbnomics,#N/A,#N/A,dbnomics,#N/A,#N/A
Slovakia,SK,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A,#N/A,dbnomics,#N/A,#N/A
Germany,DE,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A,#N/A,dbnomics,#N/A,#N/A
Japan,JP,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics
China,CN,dbnomics,#N/A,dbnomics,dbnomics,#N/A,#N/A,#N/A,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A,#N/A,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A
India,IN,dbnomics,#N/A,dbnomics,dbnomics,dbnomics,#N/A,#N/A,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,#N/A,#N/A
Canada,CA,dbnomics,#N/A,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics,dbnomics
